LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HRWKD,TOT,HR_WKD,A,2013,1689.599976,
AUS,HRWKD,TOT,HR_WKD,A,2014,1682.699951,
AUS,HRWKD,TOT,HR_WKD,A,2015,1682.900024,
AUS,HRWKD,TOT,HR_WKD,A,2016,1672.199951,
AUS,HRWKD,TOT,HR_WKD,A,2017,1675.900024,
AUT,HRWKD,TOT,HR_WKD,A,2013,1632.1,
AUT,HRWKD,TOT,HR_WKD,A,2014,1621.6,
AUT,HRWKD,TOT,HR_WKD,A,2015,1598.9,
AUT,HRWKD,TOT,HR_WKD,A,2016,1609.4,
AUT,HRWKD,TOT,HR_WKD,A,2017,1613.1,
BEL,HRWKD,TOT,HR_WKD,A,2013,1558,
BEL,HRWKD,TOT,HR_WKD,A,2014,1555,
BEL,HRWKD,TOT,HR_WKD,A,2015,1545,
BEL,HRWKD,TOT,HR_WKD,A,2016,1546,
CAN,HRWKD,TOT,HR_WKD,A,2013,1711,
CAN,HRWKD,TOT,HR_WKD,A,2014,1706,
CAN,HRWKD,TOT,HR_WKD,A,2015,1711,
CAN,HRWKD,TOT,HR_WKD,A,2016,1706,
CAN,HRWKD,TOT,HR_WKD,A,2017,1695,
CZE,HRWKD,TOT,HR_WKD,A,2013,1763,
CZE,HRWKD,TOT,HR_WKD,A,2014,1777,
CZE,HRWKD,TOT,HR_WKD,A,2015,1756,
CZE,HRWKD,TOT,HR_WKD,A,2016,1778,
CZE,HRWKD,TOT,HR_WKD,A,2017,1776,
DNK,HRWKD,TOT,HR_WKD,A,2013,1426,
DNK,HRWKD,TOT,HR_WKD,A,2014,1414,
DNK,HRWKD,TOT,HR_WKD,A,2015,1407,
DNK,HRWKD,TOT,HR_WKD,A,2016,1414,
DNK,HRWKD,TOT,HR_WKD,A,2017,1408,
FIN,HRWKD,TOT,HR_WKD,A,2013,1640,
FIN,HRWKD,TOT,HR_WKD,A,2014,1636,
FIN,HRWKD,TOT,HR_WKD,A,2015,1637,
FIN,HRWKD,TOT,HR_WKD,A,2016,1635,
FIN,HRWKD,TOT,HR_WKD,A,2017,1628,
FRA,HRWKD,TOT,HR_WKD,A,2013,1513.9,
FRA,HRWKD,TOT,HR_WKD,A,2014,1508.97,
FRA,HRWKD,TOT,HR_WKD,A,2015,1509.43,
FRA,HRWKD,TOT,HR_WKD,A,2016,1502.73,
FRA,HRWKD,TOT,HR_WKD,A,2017,1514,
DEU,HRWKD,TOT,HR_WKD,A,2013,1362.1,
DEU,HRWKD,TOT,HR_WKD,A,2014,1367.6,
DEU,HRWKD,TOT,HR_WKD,A,2015,1367.8,
DEU,HRWKD,TOT,HR_WKD,A,2016,1363.4,
DEU,HRWKD,TOT,HR_WKD,A,2017,1356,
GRC,HRWKD,TOT,HR_WKD,A,2013,2059,
GRC,HRWKD,TOT,HR_WKD,A,2014,2021,
GRC,HRWKD,TOT,HR_WKD,A,2015,2031,
GRC,HRWKD,TOT,HR_WKD,A,2016,2030,
GRC,HRWKD,TOT,HR_WKD,A,2017,2018,
HUN,HRWKD,TOT,HR_WKD,A,2013,1744.6,
HUN,HRWKD,TOT,HR_WKD,A,2014,1751.6,
HUN,HRWKD,TOT,HR_WKD,A,2015,1748.9,
HUN,HRWKD,TOT,HR_WKD,A,2016,1759.4,
HUN,HRWKD,TOT,HR_WKD,A,2017,1740.4,
IRL,HRWKD,TOT,HR_WKD,A,2013,1720,
IRL,HRWKD,TOT,HR_WKD,A,2014,1731,
IRL,HRWKD,TOT,HR_WKD,A,2015,1741,
IRL,HRWKD,TOT,HR_WKD,A,2016,1739,
IRL,HRWKD,TOT,HR_WKD,A,2017,1738,
ITA,HRWKD,TOT,HR_WKD,A,2013,1719.51,
ITA,HRWKD,TOT,HR_WKD,A,2014,1717.14,
ITA,HRWKD,TOT,HR_WKD,A,2015,1718,
ITA,HRWKD,TOT,HR_WKD,A,2016,1724.42,
ITA,HRWKD,TOT,HR_WKD,A,2017,1722.61,
JPN,HRWKD,TOT,HR_WKD,A,2013,1734,
JPN,HRWKD,TOT,HR_WKD,A,2014,1729,
JPN,HRWKD,TOT,HR_WKD,A,2015,1719,
